ts_ct,ts_utc,waitlist_status,parties_ahead,wait_min_minutes,wait_max_minutes,party_size,source,note
2026-09-04T08:12:34,2026-09-04T13:12:34.859Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:13:00,2026-09-04T13:13:00.001Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:14:00,2026-09-04T13:14:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:15:00,2026-09-04T13:15:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:16:00,2026-09-04T13:16:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:17:00,2026-09-04T13:17:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:18:00,2026-09-04T13:18:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:19:00,2026-09-04T13:19:00.016Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:20:00,2026-09-04T13:20:00.020Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:21:00,2026-09-04T13:21:00.016Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:22:00,2026-09-04T13:22:00.020Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:23:00,2026-09-04T13:23:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:24:00,2026-09-04T13:24:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:25:00,2026-09-04T13:25:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:26:00,2026-09-04T13:26:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:27:00,2026-09-04T13:27:00.020Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:28:00,2026-09-04T13:28:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:29:00,2026-09-04T13:29:00.020Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:30:00,2026-09-04T13:30:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:31:00,2026-09-04T13:31:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:32:00,2026-09-04T13:32:00.007Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:33:00,2026-09-04T13:33:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:34:00,2026-09-04T13:34:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:35:00,2026-09-04T13:35:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:36:00,2026-09-04T13:36:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:37:00,2026-09-04T13:37:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:38:00,2026-09-04T13:38:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:39:00,2026-09-04T13:39:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:40:00,2026-09-04T13:40:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:41:00,2026-09-04T13:41:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:42:00,2026-09-04T13:42:00.005Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:43:00,2026-09-04T13:43:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:44:00,2026-09-04T13:44:00.030Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:45:00,2026-09-04T13:45:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:46:00,2026-09-04T13:46:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:47:00,2026-09-04T13:47:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:48:00,2026-09-04T13:48:00.022Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:49:00,2026-09-04T13:49:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:50:00,2026-09-04T13:50:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:51:00,2026-09-04T13:51:00.016Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:52:00,2026-09-04T13:52:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:53:00,2026-09-04T13:53:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:54:00,2026-09-04T13:54:00.016Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:55:00,2026-09-04T13:55:00.016Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:56:00,2026-09-04T13:56:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:57:00,2026-09-04T13:57:00.002Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:58:00,2026-09-04T13:58:00.006Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T08:59:00,2026-09-04T13:59:00.016Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:00:00,2026-09-04T14:00:00.008Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:01:00,2026-09-04T14:01:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:02:00,2026-09-04T14:02:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:03:00,2026-09-04T14:03:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:04:00,2026-09-04T14:04:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:05:00,2026-09-04T14:05:00.017Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:06:00,2026-09-04T14:06:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:07:00,2026-09-04T14:07:00.016Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:08:00,2026-09-04T14:08:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:09:00,2026-09-04T14:09:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:10:00,2026-09-04T14:10:00.000Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T09:11:00,2026-09-04T14:11:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T09:12:00,2026-09-04T14:12:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T09:13:00,2026-09-04T14:13:00.029Z,OPEN,1,5,15,2,api,
2026-09-04T09:14:00,2026-09-04T14:14:00.016Z,OPEN,1,5,15,2,api,
2026-09-04T09:15:00,2026-09-04T14:15:00.016Z,OPEN,1,5,15,2,api,
2026-09-04T09:16:00,2026-09-04T14:16:00.003Z,OPEN,1,5,15,2,api,
2026-09-04T09:17:00,2026-09-04T14:17:00.016Z,OPEN,1,5,15,2,api,
2026-09-04T09:18:00,2026-09-04T14:18:00.000Z,OPEN,2,10,20,2,api,
2026-09-04T09:19:00,2026-09-04T14:19:00.016Z,OPEN,2,10,20,2,api,
2026-09-04T09:20:00,2026-09-04T14:20:00.030Z,OPEN,2,10,20,2,api,
2026-09-04T09:21:00,2026-09-04T14:21:00.028Z,OPEN,2,10,20,2,api,
2026-09-04T09:22:00,2026-09-04T14:22:00.029Z,OPEN,2,10,20,2,api,
2026-09-04T09:23:00,2026-09-04T14:23:00.016Z,OPEN,3,10,20,2,api,
2026-09-04T09:24:00,2026-09-04T14:24:00.028Z,OPEN,3,10,20,2,api,
2026-09-04T09:25:00,2026-09-04T14:25:00.016Z,OPEN,3,10,20,2,api,
2026-09-04T09:26:00,2026-09-04T14:26:00.029Z,OPEN,2,10,20,2,api,
2026-09-04T09:27:00,2026-09-04T14:27:00.016Z,OPEN,3,10,20,2,api,
2026-09-04T09:28:00,2026-09-04T14:28:00.018Z,OPEN,4,10,20,2,api,
2026-09-04T09:29:00,2026-09-04T14:29:00.027Z,OPEN,4,10,20,2,api,
2026-09-04T09:30:00,2026-09-04T14:30:00.027Z,OPEN,5,10,20,2,api,
2026-09-04T09:31:00,2026-09-04T14:31:00.016Z,OPEN,5,10,20,2,api,
2026-09-04T09:32:00,2026-09-04T14:32:00.021Z,OPEN,5,10,20,2,api,
2026-09-04T09:33:00,2026-09-04T14:33:00.026Z,OPEN,6,15,25,2,api,
2026-09-04T09:34:00,2026-09-04T14:34:00.028Z,OPEN,6,15,25,2,api,
2026-09-04T09:35:00,2026-09-04T14:35:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T09:36:00,2026-09-04T14:36:00.016Z,OPEN,3,10,20,2,api,
2026-09-04T09:37:00,2026-09-04T14:37:00.028Z,OPEN,3,10,20,2,api,
2026-09-04T09:38:00,2026-09-04T14:38:00.015Z,OPEN,4,10,20,2,api,
2026-09-04T09:39:00,2026-09-04T14:39:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T09:40:00,2026-09-04T14:40:00.016Z,OPEN,8,15,25,2,api,
2026-09-04T09:41:00,2026-09-04T14:41:00.020Z,OPEN,8,15,25,2,api,
2026-09-04T09:42:00,2026-09-04T14:42:00.029Z,OPEN,8,15,25,2,api,
2026-09-04T09:43:00,2026-09-04T14:43:00.001Z,OPEN,8,15,25,2,api,
2026-09-04T09:44:00,2026-09-04T14:44:00.019Z,OPEN,8,15,25,2,api,
2026-09-04T09:45:00,2026-09-04T14:45:00.016Z,OPEN,9,15,25,2,api,
2026-09-04T09:46:00,2026-09-04T14:46:00.007Z,OPEN,10,20,30,2,api,
2026-09-04T09:47:00,2026-09-04T14:47:00.029Z,OPEN,10,20,30,2,api,
2026-09-04T09:48:00,2026-09-04T14:48:00.028Z,OPEN,9,15,25,2,api,
2026-09-04T09:49:00,2026-09-04T14:49:00.029Z,OPEN,8,15,25,2,api,
2026-09-04T09:50:00,2026-09-04T14:50:00.029Z,OPEN,7,15,25,2,api,
2026-09-04T09:51:00,2026-09-04T14:51:00.025Z,OPEN,7,15,25,2,api,
2026-09-04T09:52:00,2026-09-04T14:52:00.028Z,OPEN,8,15,25,2,api,
2026-09-04T09:53:00,2026-09-04T14:53:00.016Z,OPEN,8,15,25,2,api,
2026-09-04T09:54:00,2026-09-04T14:54:00.028Z,OPEN,9,15,25,2,api,
2026-09-04T09:55:00,2026-09-04T14:55:00.028Z,OPEN,15,25,35,2,api,
2026-09-04T09:56:00,2026-09-04T14:56:00.030Z,OPEN,13,25,35,2,api,
2026-09-04T09:57:00,2026-09-04T14:57:00.016Z,OPEN,13,25,35,2,api,
2026-09-04T09:58:00,2026-09-04T14:58:00.029Z,OPEN,13,25,35,2,api,
2026-09-04T09:59:00,2026-09-04T14:59:00.028Z,OPEN,12,20,30,2,api,
2026-09-04T10:00:00,2026-09-04T15:00:00.011Z,OPEN,12,20,30,2,api,
2026-09-04T10:01:00,2026-09-04T15:01:00.016Z,OPEN,13,25,35,2,api,
2026-09-04T10:02:00,2026-09-04T15:02:00.028Z,OPEN,14,25,35,2,api,
2026-09-04T10:03:00,2026-09-04T15:03:00.030Z,OPEN,15,25,35,2,api,
2026-09-04T10:04:00,2026-09-04T15:04:00.030Z,OPEN,15,25,35,2,api,
2026-09-04T10:05:00,2026-09-04T15:05:00.009Z,OPEN,17,30,40,2,api,
2026-09-04T10:06:00,2026-09-04T15:06:00.027Z,OPEN,17,30,40,2,api,
2026-09-04T10:07:00,2026-09-04T15:07:00.016Z,OPEN,18,30,40,2,api,
2026-09-04T10:08:00,2026-09-04T15:08:00.028Z,OPEN,18,30,40,2,api,
2026-09-04T10:09:00,2026-09-04T15:09:00.027Z,OPEN,19,30,40,2,api,
2026-09-04T10:10:00,2026-09-04T15:10:00.028Z,OPEN,19,30,40,2,api,
2026-09-04T10:11:00,2026-09-04T15:11:00.016Z,OPEN,19,30,40,2,api,
2026-09-04T10:12:00,2026-09-04T15:12:00.029Z,OPEN,20,35,45,2,api,
2026-09-04T10:13:00,2026-09-04T15:13:00.029Z,OPEN,20,35,45,2,api,
2026-09-04T10:14:00,2026-09-04T15:14:00.027Z,OPEN,19,30,40,2,api,
2026-09-04T10:15:00,2026-09-04T15:15:00.029Z,OPEN,17,30,40,2,api,
2026-09-04T10:16:00,2026-09-04T15:16:00.028Z,OPEN,18,30,40,2,api,
2026-09-04T10:17:00,2026-09-04T15:17:00.026Z,OPEN,18,30,40,2,api,
2026-09-04T10:18:00,2026-09-04T15:18:00.016Z,OPEN,18,30,40,2,api,
2026-09-04T10:19:00,2026-09-04T15:19:00.028Z,OPEN,19,30,40,2,api,
2026-09-04T10:20:00,2026-09-04T15:20:00.028Z,OPEN,20,35,45,2,api,
2026-09-04T10:21:00,2026-09-04T15:21:00.016Z,OPEN,20,35,45,2,api,
2026-09-04T10:22:00,2026-09-04T15:22:00.020Z,OPEN,20,35,45,2,api,
2026-09-04T10:23:00,2026-09-04T15:23:00.028Z,OPEN,21,35,45,2,api,
2026-09-04T10:24:00,2026-09-04T15:24:00.024Z,OPEN,21,35,45,2,api,
2026-09-04T10:25:00,2026-09-04T15:25:00.028Z,OPEN,22,35,45,2,api,
2026-09-04T10:26:00,2026-09-04T15:26:00.028Z,OPEN,23,35,45,2,api,
2026-09-04T10:27:00,2026-09-04T15:27:00.028Z,OPEN,23,35,45,2,api,
2026-09-04T10:28:00,2026-09-04T15:28:00.028Z,OPEN,22,35,45,2,api,
2026-09-04T10:29:00,2026-09-04T15:29:00.016Z,OPEN,19,30,40,2,api,
2026-09-04T11:04:47,2026-09-04T16:04:47.736Z,OPEN,9,15,25,2,api,
2026-09-04T11:06:00,2026-09-04T16:06:00.008Z,OPEN,12,20,30,2,api,
2026-09-04T11:07:00,2026-09-04T16:07:00.028Z,OPEN,13,25,35,2,api,
2026-09-04T11:08:00,2026-09-04T16:08:00.029Z,OPEN,12,20,30,2,api,
2026-09-04T11:09:00,2026-09-04T16:09:00.025Z,OPEN,15,25,35,2,api,
2026-09-04T11:10:00,2026-09-04T16:10:00.025Z,OPEN,14,25,35,2,api,
2026-09-04T11:11:00,2026-09-04T16:11:00.025Z,OPEN,14,25,35,2,api,
2026-09-04T11:12:00,2026-09-04T16:12:00.027Z,OPEN,14,25,35,2,api,
2026-09-04T11:13:00,2026-09-04T16:13:00.028Z,OPEN,13,25,35,2,api,
2026-09-04T11:14:00,2026-09-04T16:14:00.017Z,OPEN,13,25,35,2,api,
2026-09-04T11:15:00,2026-09-04T16:15:00.028Z,OPEN,13,25,35,2,api,
2026-09-04T11:16:00,2026-09-04T16:16:00.028Z,OPEN,13,25,35,2,api,
2026-09-04T11:17:00,2026-09-04T16:17:00.022Z,OPEN,13,25,35,2,api,
2026-09-04T11:18:00,2026-09-04T16:18:00.025Z,OPEN,12,20,30,2,api,
2026-09-04T11:19:00,2026-09-04T16:19:00.028Z,OPEN,11,20,30,2,api,
2026-09-04T11:20:00,2026-09-04T16:20:00.009Z,OPEN,12,20,30,2,api,
2026-09-04T11:21:00,2026-09-04T16:21:00.016Z,OPEN,12,20,30,2,api,
2026-09-04T11:22:00,2026-09-04T16:22:00.019Z,OPEN,12,20,30,2,api,
2026-09-04T11:23:00,2026-09-04T16:23:00.001Z,OPEN,12,20,30,2,api,
2026-09-04T11:24:00,2026-09-04T16:24:00.017Z,OPEN,12,20,30,2,api,
2026-09-04T11:25:00,2026-09-04T16:25:00.028Z,OPEN,9,15,25,2,api,
2026-09-04T11:26:00,2026-09-04T16:26:00.028Z,OPEN,9,15,25,2,api,
2026-09-04T11:27:00,2026-09-04T16:27:00.028Z,OPEN,9,15,25,2,api,
2026-09-04T11:28:00,2026-09-04T16:28:00.028Z,OPEN,9,15,25,2,api,
2026-09-04T11:29:00,2026-09-04T16:29:00.017Z,OPEN,9,15,25,2,api,
2026-09-04T11:30:00,2026-09-04T16:30:00.027Z,OPEN,7,15,25,2,api,
2026-09-04T11:31:00,2026-09-04T16:31:00.028Z,OPEN,7,15,25,2,api,
2026-09-04T11:32:00,2026-09-04T16:32:00.028Z,OPEN,6,15,25,2,api,
2026-09-04T11:33:00,2026-09-04T16:33:00.028Z,OPEN,6,15,25,2,api,
2026-09-04T11:34:00,2026-09-04T16:34:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T11:35:00,2026-09-04T16:35:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T11:36:00,2026-09-04T16:36:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T11:37:00,2026-09-04T16:37:00.027Z,OPEN,5,10,20,2,api,
2026-09-04T11:38:00,2026-09-04T16:38:00.027Z,OPEN,4,10,20,2,api,
2026-09-04T11:39:00,2026-09-04T16:39:00.028Z,OPEN,4,10,20,2,api,
2026-09-04T11:40:00,2026-09-04T16:40:00.028Z,OPEN,4,10,20,2,api,
2026-09-04T11:41:00,2026-09-04T16:41:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T11:42:00,2026-09-04T16:42:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T11:43:00,2026-09-04T16:43:00.025Z,OPEN,5,10,20,2,api,
2026-09-04T11:44:00,2026-09-04T16:44:00.028Z,OPEN,3,10,20,2,api,
2026-09-04T11:45:00,2026-09-04T16:45:00.027Z,OPEN,2,10,20,2,api,
2026-09-04T11:46:00,2026-09-04T16:46:00.009Z,OPEN,2,10,20,2,api,
2026-09-04T11:47:00,2026-09-04T16:47:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T11:48:00,2026-09-04T16:48:00.029Z,OPEN,2,10,20,2,api,
